"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
686797,"Lee, Brooks","L","L",24.88701269667412,27.857645537461067,36.29254601026606,-3.1807747422101325,30.494997574457873,5.607984877783753
680757,"Kwan, Steven","L","L",30.17660848786245,23.003936736782922,8.35990672888185,-8.723104001641815,28.989508125694226,-1.1871003621682192
680574,"McLain, Matt","R","R",23.76538967918432,26.83949840557258,27.491276468918127,-10.483117037268867,31.162986136093128,7.397596456908815
657041,"Thomas, Lane","R","R",24.15910876216793,29.059932165828627,39.86371372531484,-11.046681238234532,28.236777715410064,4.0776689532421315
663837,"Vierling, Matt","R","R",36.53423350365285,26.568652803600422,25.0639077763048,-18.09825761774831,31.866596644559657,-4.667636859093204
686681,"Massey, Michael","L","L",23.63484422743543,30.086887311121714,31.07450488655927,-5.704498949707545,30.36555234195211,6.730708114516687
663757,"Grisham, Trent","L","L",33.51815519461281,31.10951635566263,26.348135167522017,-15.344260878334604,26.0752878092123,-7.44286738540051
686527,"Canzone, Dominic","L","L",31.38536690118255,29.97462644768635,26.319925219266384,-5.976076546497184,38.60840779946662,7.223040898284069
681481,"Carpenter, Kerry","L","L",31.93261853071799,30.457689530478266,22.80648536430531,-4.152750875014954,27.549824573692323,-4.382793957025677
666160,"Moniak, Mickey","L","L",25.94065679678135,30.239921562113036,32.663970165230694,-3.9914463046075186,30.822975173486437,4.882318376705094
677942,"Alexander, Blaze","R","R",30.148074083260337,29.737762113179468,32.05661108818031,-13.24718467476415,23.775915492514333,-6.372158590746009
606192,"Hernández, Teoscar","R","R",31.698387732675513,30.32591162485411,28.368574283949084,-3.8064599589762493,29.89499295109016,-1.8033947815853477
677587,"Rocchio, Brayan","L","L",26.855116923860148,22.72125918047116,39.82798162134451,-8.78650904590815,33.419166599123905,6.564049675263765
542303,"Ozuna, Marcell","R","R",34.58635977082987,25.830574687296714,33.06403175701802,-25.87485772338284,34.357035583147876,-0.22932418768200843
665833,"Cruz, Oneil","L","L",28.035470329876162,26.5751906438879,38.77278624547407,-11.335369151546047,34.62383562546546,6.58836529558929
668901,"Vientos, Mark","R","R",27.16863731416246,27.55491866369454,26.07165180827176,-3.715005153482151,29.727810754407898,2.559173440245446
592663,"Realmuto, J.T.","R","R",31.116738651933858,28.16338697890661,25.266119724842856,-23.440857873700665,29.059975004730465,-2.0567636472033906
656555,"Hoskins, Rhys","R","R",30.82059433188371,28.407517075057807,24.09164922582264,-5.8478578920889905,32.99875013273924,2.1781558008555293
665161,"Peña, Jeremy","R","R",28.321653674921055,27.444549387737034,35.45687854928921,-21.584577009849024,31.64183885756666,3.3201851826456075
656716,"McKinstry, Zach","L","L",29.071633362662002,25.458223738724968,31.53175152241011,-3.125335821763592,28.087048490188995,-0.9845848724730079
696285,"Young, Jacob","R","R",30.397534792746054,31.031063413065603,32.2833096447201,-9.908456386974603,28.084659243318395,-2.3128755494276727
666969,"García, Adolis","R","R",29.93991023505779,26.847697798763104,28.700415559830972,-17.561366181016723,32.46161770393566,2.5217074688778673
663728,"Raleigh, Cal","L","L",30.433718698162913,24.917535487502754,28.517011207678973,-1.1627551237610059,32.81793942185977,2.384220723696869
672695,"Perdomo, Geraldo","L","L",18.310589870416948,25.376000004526414,44.42746831404463,-13.00297303576771,24.672566315599077,6.361976445182126
663886,"Stephenson, Tyler","R","R",28.03065210601168,28.516321367242558,32.79919272347984,0.2774802255448259,29.776548032556107,1.7458959265444216
804606,"Griffin, Konnor","R","R",29.3090106623544,30.510373218366098,31.502991027731277,-7.639964316282894,32.641819084560915,3.3328084222065195
690993,"Keith, Colt","L","L",23.89410448367842,28.135846414118095,34.20804110346092,-3.841797382120073,30.359454316555055,6.465349832876632
609280,"Andujar, Miguel","R","R",28.123254302992514,30.600172002696386,24.654862070531138,5.348300590310029,33.346968386562516,5.223714083570002
805779,"Wilson, Jacob","R","R",28.777065983267615,23.898735336807633,25.59195386516662,-17.75828066345469,33.19811317305643,4.421047189788821
682626,"Alvarez, Francisco","R","R",25.969405167556282,28.588652872640477,34.21910190136688,-11.495440551199808,27.188925164845603,1.2195199972893112
664770,"Lukes, Nathan","L","L",27.389336720640536,29.925131772691056,30.821927165039575,2.337578565473163,26.643564708677594,-0.7457720119629432
683357,"Caissie, Owen","L","L",28.678559789961046,28.52684610831355,28.73969195354822,-5.142751791303227,33.37202116334479,4.693461373383749
669357,"Gorman, Nolan","L","L",28.38285475506956,28.860607263091417,33.06515447552885,-9.636992574552856,34.704292769746,6.321438014676454
573262,"Yastrzemski, Mike","L","L",31.544807094015052,23.81787869922801,24.396021623525463,-5.4146842423776365,32.826103456547635,1.2812963625325844
592450,"Judge, Aaron","R","R",25.289357749132517,33.865597394877156,30.26875313943267,-6.488721538220376,29.217458808664663,3.9281010595321413
650489,"Castro, Willi","L","L",31.380018725219518,22.767672333003052,30.793942342184423,-6.149965172954465,30.9350849066745,-0.4449338185450193
